"","zip","family_size","income_limit","year"
"518","143","2",36183.3333333333,"2017"
"519","143","3",40700,"2017"
"520","143","4",45200,"2017"
"521","143","5",48841.6666666667,"2017"
"522","143","6",52466.6666666667,"2017"
"523","143","7",56075,"2017"
"524","143","8",59691.6666666667,"2017"
"525","143","9",68645.4166666667,"2017"
"526","143","10",78942.2291666667,"2017"
"527","143","11",90783.5635416666,"2017"
"528","143","NoAnswer",1,"2017"
"529","144","1",25125,"2017"
"530","144","2",28692.8571428571,"2017"
"531","144","3",32296.4285714286,"2017"
"532","144","4",35853.5714285714,"2017"
"533","144","5",38735.7142857143,"2017"
"534","144","6",41607.1428571429,"2017"
"535","144","7",44475,"2017"
"536","144","8",47350,"2017"
"537","144","9",54452.5,"2017"
"538","144","10",62620.375,"2017"
"539","144","11",72013.43125,"2017"
"540","144","NoAnswer",1,"2017"
"541","145","1",26356.25,"2017"
"542","145","2",30103.125,"2017"
"543","145","3",33878.125,"2017"
"544","145","4",37612.5,"2017"
"545","145","5",40637.5,"2017"
"546","145","6",43650,"2017"
"547","145","7",46659.375,"2017"
"548","145","8",49671.875,"2017"
"549","145","9",57122.65625,"2017"
"550","145","10",65691.0546875,"2017"
"551","145","11",75544.712890625,"2017"
"552","145","NoAnswer",1,"2017"
"553","146","1",31683.3333333333,"2017"
"554","146","2",36208.3333333333,"2017"
"555","146","3",40733.3333333333,"2017"
"556","146","4",45233.3333333333,"2017"
"557","146","5",48875,"2017"
"558","146","6",52500,"2017"
"559","146","7",56116.6666666667,"2017"
"560","146","8",59733.3333333333,"2017"
"561","146","9",68693.3333333333,"2017"
"562","146","10",78997.3333333333,"2017"
"563","146","11",90846.9333333333,"2017"
"564","146","NoAnswer",1,"2017"
"565","147","1",28344.4444444444,"2017"
"566","147","2",32388.8888888889,"2017"
"567","147","3",36444.4444444444,"2017"
"568","147","4",40466.6666666667,"2017"
"569","147","5",43722.2222222222,"2017"
"570","147","6",46961.1111111111,"2017"
"571","147","7",50200,"2017"
"572","147","8",53433.3333333333,"2017"
"573","147","9",61448.3333333333,"2017"
"574","147","10",70665.5833333333,"2017"
"575","147","11",81265.4208333333,"2017"
"576","147","NoAnswer",1,"2017"
"577","148","1",22980,"2017"
"578","148","2",26235,"2017"
"579","148","3",29535,"2017"
"580","148","4",32785,"2017"
"581","148","5",35420,"2017"
"582","148","6",38045,"2017"
"583","148","7",40670,"2017"
"584","148","8",43290,"2017"
"585","148","9",49783.5,"2017"
"586","148","10",57251.025,"2017"
"587","148","11",65838.67875,"2017"
"588","148","NoAnswer",1,"2017"
"589","149","1",22650,"2017"
"590","149","2",25850,"2017"
"591","149","3",29100,"2017"
"592","149","4",32300,"2017"
"593","149","5",34900,"2017"
"594","149","6",37500,"2017"
"595","149","7",40100,"2017"
"596","149","8",42650,"2017"
"597","149","9",49047.5,"2017"
"598","149","10",56404.625,"2017"
"599","149","11",64865.31875,"2017"
"600","149","NoAnswer",1,"2017"
"601","150","1",28545.4545454545,"2017"
"602","150","2",32609.0909090909,"2017"
"603","150","3",36695.4545454545,"2017"
"604","150","4",40740.9090909091,"2017"
"605","150","5",44036.3636363636,"2017"
"606","150","6",47295.4545454545,"2017"
"607","150","7",50550,"2017"
"608","150","8",53804.5454545455,"2017"
"609","150","9",61875.2272727273,"2017"
"610","150","10",71156.5113636364,"2017"
"611","150","11",81829.9880681818,"2017"
"612","150","NoAnswer",1,"2017"
"613","151","1",28271.4285714286,"2017"
"614","151","2",32292.8571428571,"2017"
"615","151","3",36342.8571428571,"2017"
"616","151","4",40350,"2017"
"617","151","5",43614.2857142857,"2017"
"618","151","6",46842.8571428571,"2017"
"619","151","7",50064.2857142857,"2017"
"620","151","8",53292.8571428571,"2017"
"621","151","9",61286.7857142857,"2017"
"622","151","10",70479.8035714286,"2017"
"623","151","11",81051.7741071428,"2017"
"624","151","NoAnswer",1,"2017"
"625","152","1",28635.7142857143,"2017"
"626","152","2",32714.2857142857,"2017"
"627","152","3",36814.2857142857,"2017"
"628","152","4",40878.5714285714,"2017"
"629","152","5",44178.5714285714,"2017"
"630","152","6",47450,"2017"
"631","152","7",50714.2857142857,"2017"
"632","152","8",53985.7142857143,"2017"
"633","152","9",62083.5714285714,"2017"
"634","152","10",71396.1071428571,"2017"
"635","152","11",82105.5232142857,"2017"
"636","152","NoAnswer",1,"2017"
"637","153","1",29725,"2017"
"638","153","2",33962.5,"2017"
"639","153","3",38212.5,"2017"
"640","153","4",42431.25,"2017"
"641","153","5",45856.25,"2017"
"642","153","6",49256.25,"2017"
"643","153","7",52643.75,"2017"
"644","153","8",56037.5,"2017"
"645","153","9",64443.125,"2017"
"646","153","10",74109.59375,"2017"
"647","153","11",85226.0328125,"2017"
"648","153","NoAnswer",1,"2017"
"649","154","1",26687.5,"2017"
"650","154","2",30487.5,"2017"
"651","154","3",34312.5,"2017"
"652","154","4",38093.75,"2017"
"653","154","5",41175,"2017"
"654","154","6",44225,"2017"
"655","154","7",47262.5,"2017"
"656","154","8",50312.5,"2017"
"657","154","9",57859.375,"2017"
"658","154","10",66538.28125,"2017"
